bug: apr_file_flush_locked in apr_file_buffer_set, pair: (__errno_location, apr_file_flush_locked), support: 7, confidence: 70%
bug: apr_file_flush_locked in apr_file_flush, pair: (__errno_location, apr_file_flush_locked), support: 7, confidence: 70%
bug: apr_file_flush_locked in apr_file_gets, pair: (__errno_location, apr_file_flush_locked), support: 7, confidence: 70%
bug: alloc_socket in apr_os_sock_put, pair: (alloc_socket, apr_pool_cleanup_register), support: 3, confidence: 75%
bug: ap_set_config_vectors in ap_walk_config_sub, pair: (ap_check_cmd_context, ap_set_config_vectors), support: 3, confidence: 75%
bug: ap_walk_config in ap_parse_htaccess, pair: (ap_check_cmd_context, ap_walk_config), support: 5, confidence: 71.43%
bug: ap_walk_config in ap_process_config_tree, pair: (ap_check_cmd_context, ap_walk_config), support: 5, confidence: 71.43%
bug: missing_container_arg in start_ifdefine, pair: (ap_check_cmd_context, missing_container_arg), support: 5, confidence: 71.43%
bug: missing_container_arg in start_ifmod, pair: (ap_check_cmd_context, missing_container_arg), support: 5, confidence: 71.43%
bug: unclosed_directive in start_ifdefine, pair: (ap_check_cmd_context, unclosed_directive), support: 5, confidence: 71.43%
bug: unclosed_directive in start_ifmod, pair: (ap_check_cmd_context, unclosed_directive), support: 5, confidence: 71.43%
bug: ap_create_per_dir_config in ap_init_virtual_host, pair: (ap_create_per_dir_config, ap_getword_conf), support: 4, confidence: 80%
bug: ap_set_config_vectors in ap_walk_config_sub, pair: (ap_create_per_dir_config, ap_set_config_vectors), support: 3, confidence: 75%
bug: ap_create_per_dir_config in ap_init_virtual_host, pair: (ap_create_per_dir_config, ap_walk_config), support: 4, confidence: 80%
bug: ap_create_per_dir_config in ap_init_virtual_host, pair: (ap_create_per_dir_config, strcmp), support: 4, confidence: 80%
bug: ap_finalize_request_protocol in ap_die, pair: (ap_die, ap_finalize_request_protocol), support: 3, confidence: 75%
bug: ap_set_config_vectors in ap_walk_config_sub, pair: (ap_getword_conf, ap_set_config_vectors), support: 3, confidence: 75%
bug: ap_walk_config in ap_process_config_tree, pair: (ap_getword_conf, ap_walk_config), support: 5, confidence: 71.43%
bug: ap_walk_config in virtualhost_section, pair: (ap_getword_conf, ap_walk_config), support: 5, confidence: 71.43%
bug: kill in apr_proc_kill, pair: (ap_log_error, kill), support: 5, confidence: 71.43%
bug: ap_note_auth_failure in check_user_access1383, pair: (ap_note_auth_failure, strcasecmp), support: 3, confidence: 75%
bug: ap_set_config_vectors in ap_walk_config_sub, pair: (ap_pregcomp, ap_set_config_vectors), support: 3, confidence: 75%
bug: ap_set_config_vectors in ap_walk_config_sub, pair: (ap_set_config_vectors, ap_walk_config), support: 3, confidence: 75%
bug: ap_set_config_vectors in ap_walk_config_sub, pair: (ap_set_config_vectors, apr_fnmatch_test), support: 3, confidence: 75%
bug: ap_set_config_vectors in ap_walk_config_sub, pair: (ap_set_config_vectors, apr_pstrndup), support: 3, confidence: 75%
bug: ap_set_config_vectors in ap_walk_config_sub, pair: (ap_set_config_vectors, missing_container_arg), support: 3, confidence: 75%
bug: ap_set_config_vectors in ap_walk_config_sub, pair: (ap_set_config_vectors, strrchr), support: 3, confidence: 75%
bug: ap_set_config_vectors in ap_walk_config_sub, pair: (ap_set_config_vectors, unclosed_directive), support: 3, confidence: 75%
bug: ap_ssi_get_tag_and_value in handle_elif, pair: (ap_ssi_get_tag_and_value, ap_ssi_parse_string), support: 6, confidence: 75%
bug: ap_ssi_get_tag_and_value in handle_if, pair: (ap_ssi_get_tag_and_value, ap_ssi_parse_string), support: 6, confidence: 75%
bug: ap_ssi_get_tag_and_value in handle_flastmod, pair: (ap_ssi_get_tag_and_value, strcmp), support: 6, confidence: 75%
bug: ap_ssi_get_tag_and_value in handle_fsize, pair: (ap_ssi_get_tag_and_value, strcmp), support: 6, confidence: 75%
bug: ap_walk_config in ap_parse_htaccess, pair: (ap_walk_config, apr_pstrndup), support: 5, confidence: 71.43%
bug: ap_walk_config in ap_process_config_tree, pair: (ap_walk_config, apr_pstrndup), support: 5, confidence: 71.43%
bug: ap_walk_config in ap_parse_htaccess, pair: (ap_walk_config, missing_container_arg), support: 5, confidence: 71.43%
bug: ap_walk_config in ap_process_config_tree, pair: (ap_walk_config, missing_container_arg), support: 5, confidence: 71.43%
bug: missing_container_arg in start_ifdefine, pair: (ap_walk_config, missing_container_arg), support: 5, confidence: 71.43%
bug: missing_container_arg in start_ifmod, pair: (ap_walk_config, missing_container_arg), support: 5, confidence: 71.43%
bug: ap_walk_config in ap_parse_htaccess, pair: (ap_walk_config, strrchr), support: 5, confidence: 71.43%
bug: ap_walk_config in ap_process_config_tree, pair: (ap_walk_config, strrchr), support: 5, confidence: 71.43%
bug: ap_walk_config in ap_parse_htaccess, pair: (ap_walk_config, unclosed_directive), support: 5, confidence: 71.43%
bug: ap_walk_config in ap_process_config_tree, pair: (ap_walk_config, unclosed_directive), support: 5, confidence: 71.43%
bug: unclosed_directive in start_ifdefine, pair: (ap_walk_config, unclosed_directive), support: 5, confidence: 71.43%
bug: unclosed_directive in start_ifmod, pair: (ap_walk_config, unclosed_directive), support: 5, confidence: 71.43%
bug: apr_array_make in ap_init_virtual_host, pair: (apr_array_make, apr_array_push), support: 40, confidence: 80%
bug: apr_array_make in ap_make_method_list, pair: (apr_array_make, apr_array_push), support: 40, confidence: 80%
bug: apr_array_make in apr_xml_parser_create, pair: (apr_array_make, apr_array_push), support: 40, confidence: 80%
bug: apr_array_make in create_core_dir_config, pair: (apr_array_make, apr_array_push), support: 40, confidence: 80%
bug: apr_array_make in create_core_server_config, pair: (apr_array_make, apr_array_push), support: 40, confidence: 80%
bug: apr_array_make in prep_walk_cache, pair: (apr_array_make, apr_array_push), support: 40, confidence: 80%
bug: apr_hook_debug_show in ap_hook_default_port, pair: (apr_array_make, apr_hook_debug_show), support: 28, confidence: 87.5%
bug: apr_hook_debug_show in ap_hook_http_scheme, pair: (apr_array_make, apr_hook_debug_show), support: 28, confidence: 87.5%
bug: apr_hook_debug_show in ap_hook_log_transaction, pair: (apr_array_make, apr_hook_debug_show), support: 28, confidence: 87.5%
bug: apr_hook_debug_show in ap_hook_post_read_request, pair: (apr_array_make, apr_hook_debug_show), support: 28, confidence: 87.5%
bug: apr_fnmatch in find_desc, pair: (apr_array_push, apr_fnmatch), support: 5, confidence: 71.43%
bug: apr_fnmatch in make_autoindex_entry, pair: (apr_array_push, apr_fnmatch), support: 5, confidence: 71.43%
bug: apr_hook_debug_show in ap_hook_default_port, pair: (apr_array_push, apr_hook_debug_show), support: 28, confidence: 87.5%
bug: apr_hook_debug_show in ap_hook_http_scheme, pair: (apr_array_push, apr_hook_debug_show), support: 28, confidence: 87.5%
bug: apr_hook_debug_show in ap_hook_log_transaction, pair: (apr_array_push, apr_hook_debug_show), support: 28, confidence: 87.5%
bug: apr_hook_debug_show in ap_hook_post_read_request, pair: (apr_array_push, apr_hook_debug_show), support: 28, confidence: 87.5%
bug: apr_array_push_noclear in apr_table_add, pair: (apr_array_push_noclear, strcasecmp), support: 4, confidence: 66.67%
bug: apr_array_push_noclear in apr_table_addn, pair: (apr_array_push_noclear, strcasecmp), support: 4, confidence: 66.67%
bug: apr_pool_parent_get in ap_open_logs, pair: (apr_atomic_dec32, apr_pool_parent_get), support: 3, confidence: 75%
bug: apr_pool_parent_get in ap_open_logs, pair: (apr_atomic_inc32, apr_pool_parent_get), support: 3, confidence: 75%
bug: apr_pool_parent_get in ap_open_logs, pair: (apr_atomic_read32, apr_pool_parent_get), support: 3, confidence: 75%
bug: apr_pool_parent_get in ap_open_logs, pair: (apr_atomic_set32, apr_pool_parent_get), support: 3, confidence: 75%
bug: qsort in ap_core_reorder_directories, pair: (apr_dir_close, qsort), support: 4, confidence: 66.67%
bug: qsort in prepare, pair: (apr_dir_close, qsort), support: 4, confidence: 66.67%
bug: apr_file_flush_locked in apr_file_info_get_locked, pair: (apr_file_flush_locked, apr_thread_mutex_lock), support: 7, confidence: 70%
bug: apr_file_flush_locked in file_read_buffered, pair: (apr_file_flush_locked, apr_thread_mutex_lock), support: 7, confidence: 70%
